Where do you live?	I live in Pasadena.
Where is Pasadena?	It's in California.
Is it in northern California?	No. It's in southern California.
Is Pasadena a big city?	It's pretty big.
How big is "pretty big"?	It has about 140,000 people.
How big is Los Angeles?	It has about 3 million people.
Do you have a car?	Yes, I do.
What kind of car do you have?	I have a Honda.
Is it new?	It was new in 2003.
So, it's pretty old now.	Yes, it is. But it still looks good.
Do you take good care of it?	Oh, yes. I wash it once a week.
Do you change the oil?	My mechanic changes the oil twice a year.
Do you have a girlfriend?	No, I don't. Do you?
I don't have a girlfriend, either.	Why not?
I don't know. Maybe I'm not rich enough.	Girls like guys with money.
They sure do.	They like guys with new cars.
I don't have money or a new car.	Me, neither.
But girls like guys who are funny.	Maybe we should learn some good jokes.
Where are you going?	I have to walk the dog.
What kind of dog do you have?	I have a little poodle.
Poodles bark a lot.	They sure do.
They bark at everything.	They never shut up.
Why did you get a poodle?	It's my mom's dog.
So she likes poodles.	She says they're good watchdogs.
Can I borrow $5?	Sure. Why do you need it?
I want to buy lunch.	Where's your money?
It's not in my wallet.	Your wallet is empty?
I don't have even one dollar in it.	Being broke is no fun.
Even if it's only for a short while.	It's always good to have friends.
Friends will lend you money when you're broke.	As long as you pay them back.
Let's go to the beach.	That's a great idea.
We haven't been in a while.	We haven't been in a month.
The last time we went, you almost drowned.	No, I didn't.
Then why did the lifeguard dive into the water?	I think he wanted to cool off.
He swam right up to you.	And then he turned right around.
Maybe you're right.	Maybe we should get going.
Are you married?	No. I'm divorced.
When did you get divorced?	I got divorced two years ago.
Why did you get divorced?	My wife left me.
Why did she leave you?	She said she didn't love me anymore.
Wow! That's terrible.	Yes, it was.
Why didn't she love you anymore?	She fell in love with my best friend.
I'm bored.	What's on TV?
Nothing.	There must be something on TV!
Nothing that's interesting.	What about that new game show?
Which one?	"Deal or No Deal"
Tell me you're joking.	I love that show.
I watched it once. That was enough.	It's on right now. Let's watch it together.
I like living here.	I agree. Pasadena is a nice city.
It's not too big.	And it's not too small.
It has great weather all year long.	It has the Rose Parade.
It has beautiful houses.	It has wonderful restaurants.
It has great schools.	It's close to the mountains.
The people are friendly.	I'm not ever going to leave.
We need a new mattress.	What's the matter with this one?
It's not comfortable.	It seems fine to me.
I toss and turn all night.	You should stop drinking coffee.
Look at these marks on my arms.	What are they?
They are bites.	Did the cat bite you?
No. The bedbugs in that mattress bit me.	Okay. Let's get a new mattress.
My laptop is so slow.	Buy a new one.
I would if I had the money.	Why is it so slow?
That's a good question.	Did you take it to a computer shop?
I would if I had the money.	Well, I guess you have to live with it.
Sometimes I want to throw it out the window.	You don't want to do that.
Why not?	You might hit someone in the head.
What's for dinner?	I'm not sure.
How about a pizza?	You had pizza for lunch.
But I love pizza.	Everybody loves pizza.
